City,POP,GDP,PRIM,SEC,TERT,>60yr%,BED,DOC,NRS,Area,POPDENS,GDPpc,Prim%,Sec%,Tert%,ACTV,TVLR,TVLR‰,Cases,MORB%,log(Cases),log(MORB%)
Suzhou,570.05,1978.75,287.71,710.34,980.9,0.1808,4.473291817,1.719147443,1.806859047,9939,0.057354865,3.471186738,0.145399874,0.358984207,0.495716993,6.14565,0.3184845,0.000558696,41,7.19E-06,3.713572067,-11.84249238
Chuzhou,414.7,2909.1,249.4,1427.6,1232.1,0.201228914,5.216542079,1.998794309,2.578008199,13516,0.030682154,7.014950567,0.085730982,0.490735966,0.423533051,5.774135714,0,0,13,3.13E-06,2.564949357,-12.67294638
Liuan,487.3,1620.1,217.1,585.4,817.6,0.169759046,4.712292222,2.400369382,1.858403448,15451,0.031538412,3.324646009,0.134004074,0.36133572,0.504660206,6.181521429,1.0224945,0.002098285,69,1.42E-05,4.234106505,-11.16511382
Xuancheng,266.1,1561.3,149.8,738.3,673.2,0.2367,5.461480646,2.126644119,2.418263811,12313,0.021611305,5.867343104,0.095945686,0.472875168,0.431179146,5.895528571,0,0,6,2.25E-06,1.791759469,-13.00245308
Chizhou,148.5,831.7,83.9,367.3,380.5,0.212,5.294276094,2.069360269,2.401346801,8399,0.017680676,5.600673401,0.10087772,0.441625586,0.457496694,5.895107143,0,0,17,1.14E-05,2.833213344,-11.37771199
Bozhou,526.3,1749,238.2,621.8,889,0.149550033,4.454493635,1.572867186,1.876306289,8521,0.061765051,3.323199696,0.13619211,0.355517439,0.508290452,7.0828,0.414194,0.000786992,108,2.05E-05,4.682131227,-10.79408054
Xian,1020.35,9321.19,279.13,3167.44,5874.62,0.1619,7.105405008,3.773215073,4.643281986,10958,0.093114619,9.135286911,0.029945747,0.339810689,0.630243563,4.917514286,1.6756375,0.001642218,120,1.18E-05,4.787491743,-11.35074961
Xianyang,435.62,2195.33,304.17,1011.62,879.54,0.17859498,6.872274,2.716587852,4.059730958,9544,0.045643336,5.039552821,0.138553202,0.460805437,0.400641361,4.488242857,0.0511285,0.000117369,17,3.90E-06,2.833213344,-12.45389733
Baoji,376.1,2223.81,178.75,1273.88,771.18,0.173,7.345120978,2.844988035,3.642648232,18117,0.020759508,5.91281574,0.080380068,0.572836708,0.346783223,5.114364286,0,0,13,3.46E-06,2.564949357,-12.57524608
Tongchuan,79.65,354.72,26.95872,130.53696,197.22432,0.188736505,8.19335573,3.312181162,5.209655344,3882,0.020517774,4.453483992,0.076,0.368,0.556,4.65395,0,0,8,1.00E-05,2.079441542,-11.50854087
Weinan,527.81,1828.47,325.05,679.49,823.93,0.183011374,6.305109793,2.202307649,2.46261309,13134,0.040186539,3.464257972,0.17777158,0.371616707,0.450611714,4.87325,0,0,15,2.84E-06,2.708050201,-12.77102654
Chengdu,1658.1,17012.65,612.18,5244.62,11155.86,0.196903788,8.986189012,4.101079549,5.307279416,14335,0.115667946,10.26032809,0.035983812,0.308277664,0.655739112,4.993728571,2.3064725,0.001391033,166,1.00E-05,5.111987788,-11.51178023
Zigong,292.2,1428.49,202.36,572.7,653.43,0.229295003,8.136892539,1.663356164,2.51609589,4381,0.066697101,4.888740589,0.141660075,0.400912852,0.457427073,5.63745,0,0,9,3.08E-06,2.197224577,-12.69055429
Luzhou,432.94,2081.26,216.98,1021.86,842.42,0.236098628,7.982861366,2.529911766,3.355430314,12232,0.035394048,4.807271215,0.104254154,0.490981425,0.404764422,5.741471429,0,0,24,5.54E-06,3.17805383,-12.10288569
Deyang,356.1,2335.9,234.6,1184.4,916.9,0.264747743,7.400168492,2.700365066,2.98286998,5911,0.060243614,6.559674249,0.100432382,0.507042254,0.392525365,5.051928571,0,0,18,5.05E-06,2.890371758,-12.1951802
Mianyang,487.7,2856.2,302.45,1151.34,1402.41,0.256003998,8.263276604,2.788599549,3.137174493,20248,0.02408633,5.856469141,0.105892445,0.403102024,0.491005532,5.486057143,0,0,23,4.72E-06,3.135494216,-12.26454662
